entry,stop_loss,exit,atr,high
3.88,3.65,3.79,0.2,4.11
3.09,2.92,3.27,0.35,3.37
3.21,2.98,3.25,0.36,3.43
3.76,3.48,3.71,0.37,3.99
3.66,3.46,3.62,0.29,3.78
3.34,3.05,3.46,0.34,3.56
3.2,2.98,3.06,0.27,3.36
3.68,3.53,3.58,0.22,3.89
3.52,3.25,3.72,0.2,3.72
3.16,2.91,3.06,0.2,3.4
3.74,3.53,4.0,0.29,3.84
3.82,3.6,3.8,0.39,4.05
3.71,3.42,3.97,0.35,3.83
3.32,3.07,3.51,0.29,3.57
3.59,3.41,3.71,0.25,3.82
3.61,3.41,3.52,0.25,3.87
3.71,3.47,3.91,0.37,3.95
3.25,2.96,3.25,0.27,3.51
3.01,2.84,2.93,0.31,3.15
3.6,3.36,3.66,0.39,3.87
